구분,일자,이슈,링크,참고사항
사고,0810,"SK쉴더스 EQST, 데프콘 34 AI CTF서 5위
- 에이전틱 AI 활용한 공방 기술 겨뤄...
- 국제 연합팀으로 본선도 맹활약“실전 해킹 경험 바탕으로 AI 레드팀 연구 및 보안 기술 고도화 나설 것”[보안뉴스 조재호 기자] SK쉴더스가 자사 화이트해커 그룹 EQST가 미국 라스베이거스에서 열린 세계 최대 해킹·보안 컨퍼런스 ‘데프콘’(DEF CON) 34의 AI 빌리지 CTF에서 최종 5위에 올랐다고 10일",http://www.boannews.com/media/view.asp?idx=145096&kind=&sub_kind=,
사고,0810,"“믿었던 회사 메일이 함정?” 기업 메일함 활용한 발신자 인증 시스템 우회 공격 기승
- 젠 디지털, 탈취된 기업 메일함 악용한 뱅킹 악성코드 공격 사례 분석21종 블록체인 지갑주소 복사 시 공격자 주소로 로컬 바꿔치기바이낸스 스마트체인 이용한 이더하이딩 기법으로 C2 은닉[보안뉴스 김형근 기자] 글로벌 보안 기업 젠 디지털(Gen Digital)이 2026년 상반기 동안 벌어진 △탈취된 기업 메일함을 이용한 금융 악성코드 공격 △암호화폐 지갑",http://www.boannews.com/media/view.asp?idx=145097&kind=&sub_kind=,
동향,0810,"씨엠아이텍, ‘Secutech Vietnam 2026’서 高 보안 생체인증 통합 솔루션 선보인다
- 신제품 워크스루 얼굴인식기 ‘NovaFace-3’ 공개홍채·얼굴인식 기반 출입통제·근태관리 솔루션 집중 소개[보안뉴스 엄호식 기자] 생체인식 전문기업 씨엠아이텍(CMITECH)이 오는 9월 9일부터 12일까지 베트남 하노이에서 열리는 ‘Secutech Vietnam 2026’에 참가해 비접촉 생체인증 기반의 高 보안 출입통제 및 근태관리 솔루션을 선보인다.",http://www.boannews.com/media/view.asp?idx=145103&kind=&sub_kind=,
동향,0810,"싸이터, 데프콘 34서 선박 기자재 취약점 시연... “해양 공급망 보안 경고”
- 마리타임 해킹 빌리지 세션 참가...
- 2년 연속 글로벌 무대서 연구 성과 공유정상 위장 악성 요소의 관리자 권한 실행 등 구조적 위험성 규명[보안뉴스 조재호 기자] 싸이터가 미국 라스베이거스에서 열린 세계 최대 해킹·보안 컨퍼런스 데프콘(DEF CON) 34에 참여해 선박 기자재 사이버보안 위험 연구 결과를 발표했다고 10일 밝혔다.1993년 시작된 데프콘",http://www.boannews.com/media/view.asp?idx=145098&kind=&sub_kind=,
동향,0810,"한국첨단안전산업협회, ‘제3회 첨단치안산업 新기술 공모전’ 개최... 9월 18일까지 접수
- 첨단 기술·연구 개발·정책 연계 3개 부문에서 대상 1점 등 총 10점 시상수상작에 테크쇼 부스 할인, 컨퍼런스 발표 초청 등 후속 혜택 제공[보안뉴스 강초희 기자] 한국첨단안전산업협회(회장 이성진)는 경찰청이 주최하고 한국첨단안전산업협회, 과학치안진흥센터, 경찰과학전략센터가 공동 주관하는 ‘제3회 첨단치안산업 新기술 공모전’을 개최한다고 밝혔다.",http://www.boannews.com/media/view.asp?idx=145102&kind=&sub_kind=,
동향,0810,"서치독, ‘엔비디아 인셉션’ 멤버 선정 ··· EPC 산업 문서 리스크 해소 앞장
- [데이터넷] 초대형 산업 데이터 AI 스타트업 서치독(대표 백준선) 엔비디아의 스타트업 지원 프로그램 ‘엔비디아 인셉션’ 멤버로 선정됐다고 밝혔다.서치독은 기존 거대언어모델(LLM)이 처리하기 어려운 초대형 문서·도면을 분석하는 기술을 기반으로 설계·조달·시공(EPC) 산업의 문서 리스크를 해결하고 있다.계약서, 시방서, 도면·BIM, 공문 등으로 흩어진 기업 데이터를 하나의 업무 흐름으로 연결하는 것이 핵심 기술이다.
- 계약 조항·표·도면 객체와 이들 간의 참조 관계까지 구조화하고, 산업별 전문 용어와 개정 이력의 의미 변화까지 추",https://www.datanet.co.kr/news/articleView.html?idxno=213668,
동향,0810,"코오롱베니트, 어르신 대상 스마트폰 교육 봉사활동 전개
- [데이터넷] 코오롱베니트(대표 강이구)는 과천 지역 IT 취약계층 어르신을 대상으로 스마트폰 활용 교육 봉사활동을 전개한다고 밝혔다.IT 역량을 지역사회와 나누기 위해 올해로 3년째 이어지고 있는 봉사활동은 지난 4일 첫 교육을 시작으로 오는 9월 22일까지 매주 화요일 과천종합사회복지관에서 8주간 진행된다.
- 스마트폰 사용에 어려움을 겪는 어르신들의 디지털 격차를 줄이고, 일상 속 디지털 활용 능력을 높이는 데 초점을 맞췄다.교육은 동일한 4주 과정을 두 차례에 걸쳐 운영하며, 회차별 20명씩 총 40명의 어르신이 참여한다.",https://www.datanet.co.kr/news/articleView.html?idxno=213667,
동향,0810,"사이냅소프트, 한국표준협회 ‘AI+’ 인증 획득
- [데이터넷] 도큐먼트 AI 기업 사이냅소프트(대표 전경헌)는 거대언어모델(LLM) 기반 올인원 온프레미스 LLM 솔루션 ‘사이냅 어시스턴트’가 한국표준협회(KSA)의 ’AI+’ 인증을 획득했다고 밝혔다.한국표준협회 AI+는 AI 기술이 적용된 소프트웨어와 서비스, ICT 제품을 대상으로 AI 기능의 품질과 신뢰성을 검증해 발급하는 인증으로, 단순 모델 성능 측정을 넘어 AI 국제표준(ISO)을 기준으로 소프트웨어 품질과 개발·운영 체계 전반을 종합 심사해 부여된다.AI+인증을 획득한 사이냅 어시스턴트는 문서 구조 분석부터 청킹과 임",https://www.datanet.co.kr/news/articleView.html?idxno=213666,
동향,0810,"파두, 시스템 반도체 분야 신입·경력 공채
- [데이터넷] 데이터센터 반도체 전문기업 파두(대표 남이현)는 시스템 반도체 분야의 우수 인재 선점을 통해 미래 기술 경쟁력 확보와 성장 기반 구축을 위해 주니어 탤런트 채용을 실시한다고 밝혔다.이번 채용은 ▲펌웨어 개발 ▲펌웨어 검증 ▲테스트 엔지니어 등 3개 직무에 걸쳐 두 자리수 규모로 이뤄질 예정이다.
- 학사 신입뿐 아니라 경력(8년 이내)도 지원 가능하고, 하드웨어와 소프트웨어를 경험한 임베디드 경력을 갖춘 지원자를 우대한다.10일부터 서류 접수가 시작되며 8월 말 코딩 테스트, 9월 면접전형 후 11월 입사 일정으로 진행된다",https://www.datanet.co.kr/news/articleView.html?idxno=213663,
동향,0810,"'동시 소통' AI 에이전트 등장…단일 '클로드 오퍼스 4.8' 성적 뛰어넘었다
- AI 에이전트들이 작업 도중 실시간으로 정보를 주고받으며 협업할 수 있도록 하는 새로운 통신 기술이 등장했다.스타트업 코랄 AI 랩스(Coral AI Labs)와 대학 공동 연구진은 최근 에이전트가 자신의 작업을 중단하지 않고도 다른 에이전트의 발견과 메시지를 실시간으로 전달받을 수 있도록 설계된 비동기 메시지 전달 계층 ‘에이전트라디오(AgentRadio)’를 온라인 아카이브를 통해 공개했다.연구진은 이 기술을 적용한 4개 에이전트 팀이 장시간 코드 분석 벤치마크에서 62.1%의 문제 해결률을 기록해 단일 '클로드 오퍼스 4.8'",https://www.aitimes.com/news/articleView.html?idxno=213766,
동향,0810,"KOSA·KOEMA 업무협약 체결, 전기산업에 AI 입힌다
- 한국인공지능·소프트웨어산업협회(KOSA)와 한국전기산업진흥회(KOEMA)가 전기 산업 분야 인공지능(AI) 전환(AX)을 위해 협력한다.
- 양 기관은 지난 7일 서울 송파구 협회 본원에서 전기산업 분야 AX 확산과 산업 AI 인재양성을 위한 업무협약(MOU)을 체결했다.",https://www.etnews.com/20260810000461,
동향,0810,"메타코어글로벌 ‘아울렌즈 V432’, SAP 운영 전반 아우르는 통합 옵저버빌리티 플랫폼
- [데이터넷] ERP는 기업의 모든 비즈니스 데이터와 프로세스, 노하우가 집결되는 ‘기업의 두뇌’다.
- SAP가 지난 5월 ‘SAP 사파이어 2026’에서 AI를 결합한 ‘자율형 기업(Autonomous Enterprise)’을 새로운 비전으로 제시하며 ERP의 역할을 ‘기록 시스템(System of Record)’에서 업무를 스스로 수행하는 ‘실행 시스템(System of Execution)’으로 확장하겠다고 선언한 것도 ERP가 기업 운영의 중심 역할을 담당하고 있다는 점을 보여준다.다만 자율 실행을 논하기에 앞서 그 토대가 되는",https://www.datanet.co.kr/news/articleView.html?idxno=213660,
동향,0810,"“AI 3만7000개가 제약회사처럼 협업”…스탠포드, ‘가상 바이오테크’로 신약 자율 설계
- 스탠포드대학교 연구진이 3만7000개의 전문 AI 에이전트가 실제 제약회사처럼 협업하는 ‘가상 바이오테크(Virtual Biotech)’를 구축하고, 이를 활용해 신약 후보물질을 설계하는 데 성공했다.
- 제임스 저우 스탠포드대 생의학 데이터과학 부교수는 6일(현지시간) 열린 ‘벤처비트(VB) 트랜스폼 2026’에서 기존의 ‘한 명의 엔지니어가 하나의 AI 에이전트를 사용하는’ 방식에서 벗어나 앞으로는 수천~수만 개의 전문 에이전트가 하나의 조직처럼 협업하는 구조가 AI 연구의 새로운 단계가 될 수 있다고 설명했다.저우 연구팀의 프로젝",https://www.aitimes.com/news/articleView.html?idxno=213747,
